cpu,ram,network,process_count,anomaly,risk_score,risk_label
42.48357076505616,59.795488056102016,179.74465175076855,130.9219244212261,1,0.1071927081749065,Low
39.30867849414408,56.47243578038938,195.66443987853447,141.396149892205,1,0.18000866655140907,Low
43.23844269050346,50.41741258944122,176.22740237000116,145.86394466578355,1,0.1885310454342652,Low
47.61514928204013,45.471442556060985,190.7611541108288,168.87687657340192,1,0.09859488678673389,Low
38.82923312638332,54.88756319529513,143.19155999138644,155.56553124533758,1,0.11406479832047095,Low
38.8293152152541,52.75439769795225,206.39881122118817,136.64518430900108,1,0.16716887514259599,Low
47.89606407753696,56.26635254019413,200.03616426086677,154.86036289417638,1,0.1489110835707434,Low
43.837173645764544,54.446202611773785,175.48734106795428,134.52696011061636,1,0.14021020196528078,Low
37.65262807032524,57.34686900723535,219.77737005297212,160.82691053887072,1,0.1637786397447656,Low
42.71280021792983,46.25335351907602,228.1271041287968,145.2887534818212,1,0.1797350412820074,Low
37.68291153593769,59.22175845944028,151.77320406893077,149.0636381126083,1,0.12858455154677723,Low
37.67135123214872,51.3831972328468,177.11825664301358,163.2579664754219,1,0.16019745365163846,Low
41.20981135783017,64.52682610837687,176.92572950638106,137.1283643141575,1,0.1145525729807918,Low
30.43359877671101,45.17568527337303,171.80290696673407,136.02881814887007,1,0.08061128308147286,Low
31.375410837434835,62.15174662215674,224.88424525795244,144.16400673653996,1,0.08228763828218677,Low
37.188562353795135,51.38537548423854,194.1852158368159,160.38378851019317,1,0.1697222928616136,Low
34.93584439832788,45.44007397469886,192.0645547606817,134.8065392452316,1,0.1306536254968953,Low
41.57123666297637,46.61279916161975,139.8841290677974,121.67844401889433,1,0.024539556618992098,Low
35.45987962239394,47.75756884263976,219.0625409062768,145.48841141591,1,0.16659473009170384,Low
32.93848149332354,52.96916162481342,162.82224815439582,155.5174079991092,1,0.1252200819247849,Low
47.32824384460777,53.659848416248494,201.79797890798983,162.0026174973883,1,0.14821543134911846,Low
38.87111849756732,45.984099972429945,208.32130813874576,145.36838637914602,1,0.1785909201079936,Low
40.337641023439616,49.82951785417312,240.81975787515952,145.88573392883998,1,0.1778764864737324,Low
32.87625906893272,64.99589251028304,160.73538802642665,161.53900734255748,1,0.05924292539370113,Low
37.27808637737409,62.09280219070498,109.41463532537524,131.30258300304578,-1,-0.025829253178959455,Medium
40.55461294854933,53.05426568771823,205.51548634261084,146.11479224816992,1,0.19446205222204482,Low
34.24503211288849,50.2660243471774,254.0153354453256,151.90423889925057,1,0.1310132983444589,Low
41.87849009172836,50.84021928702783,237.16839058818312,154.49218721285035,1,0.17921543449150967,Low
36.99680655040598,54.29462580911292,206.2897824582388,144.90193306809118,1,0.18431224904489912,Low
38.54153125103362,42.84045204361116,185.25091443103855,150.3444101170584,1,0.17255872653105253,Low
36.991466938853016,48.19836423803658,224.2136778991193,125.1167264658701,1,0.08267619717720953,Low
49.26139092254469,38.31991148285688,170.79361400886594,143.41751587666153,1,0.07420322763426634,Low
39.93251387631033,52.79456185823695,214.29073308068655,154.53508712554466,1,0.19623113692269117,Low
34.7114453552205,54.53037157791918,215.1641047749988,140.1770596574532,1,0.15820400769056264,Low
44.11272456051594,46.61769476390438,231.8062972249664,150.58984221589597,1,0.17832624932334568,Low
33.89578175014489,61.01790734303023,282.7898011673323,154.46872500802698,1,0.05009300156703478,Low
